pill,stim,null_roc,test_roc
cortisol,alc,0.5570866141732284,0.6200787401574803
cortisol,alc,0.5915354330708661,0.6200787401574803
cortisol,alc,0.5748031496062992,0.6200787401574803
cortisol,alc,0.5590551181102362,0.6200787401574803
cortisol,alc,0.5836614173228346,0.6200787401574803
cortisol,alc,0.5501968503937008,0.6200787401574803
cortisol,alc,0.577755905511811,0.6200787401574803
cortisol,alc,0.5885826771653543,0.6200787401574803
cortisol,alc,0.5757874015748031,0.6200787401574803
cortisol,alc,0.5816929133858267,0.6200787401574803
cortisol,alc,0.5895669291338582,0.6200787401574803
cortisol,alc,0.5797244094488189,0.6200787401574803
cortisol,alc,0.5688976377952756,0.6200787401574803
cortisol,alc,0.5521653543307087,0.6200787401574803
cortisol,alc,0.5708661417322834,0.6200787401574803
cortisol,alc,0.5679133858267716,0.6200787401574803
cortisol,alc,0.5787401574803149,0.6200787401574803
cortisol,alc,0.5442913385826772,0.6200787401574803
cortisol,alc,0.5580708661417323,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5442913385826772,0.6200787401574803
cortisol,alc,0.5915354330708661,0.6200787401574803
cortisol,alc,0.5383858267716536,0.6200787401574803
cortisol,alc,0.5708661417322834,0.6200787401574803
cortisol,alc,0.5679133858267716,0.6200787401574803
cortisol,alc,0.5669291338582677,0.6200787401574803
cortisol,alc,0.6053149606299213,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5649606299212598,0.6200787401574803
cortisol,alc,0.5954724409448819,0.6200787401574803
cortisol,alc,0.5541338582677166,0.6200787401574803
cortisol,alc,0.5265748031496063,0.6200787401574803
cortisol,alc,0.562992125984252,0.6200787401574803
cortisol,alc,0.5482283464566929,0.6200787401574803
cortisol,alc,0.5826771653543307,0.6200787401574803
cortisol,alc,0.5767716535433071,0.6200787401574803
cortisol,alc,0.5807086614173228,0.6200787401574803
cortisol,alc,0.5954724409448819,0.6200787401574803
cortisol,alc,0.5679133858267716,0.6200787401574803
cortisol,alc,0.5531496062992126,0.6200787401574803
cortisol,alc,0.6033464566929134,0.6200787401574803
cortisol,alc,0.577755905511811,0.6200787401574803
cortisol,alc,0.5797244094488189,0.6200787401574803
cortisol,alc,0.6043307086614174,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.562992125984252,0.6200787401574803
cortisol,alc,0.5393700787401575,0.6200787401574803
cortisol,alc,0.5511811023622047,0.6200787401574803
cortisol,alc,0.5826771653543307,0.6200787401574803
cortisol,alc,0.5688976377952756,0.6200787401574803
cortisol,alc,0.5807086614173228,0.6200787401574803
cortisol,alc,0.5846456692913385,0.6200787401574803
cortisol,alc,0.5738188976377953,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5580708661417323,0.6200787401574803
cortisol,alc,0.5964566929133859,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5885826771653543,0.6200787401574803
cortisol,alc,0.5511811023622047,0.6200787401574803
cortisol,alc,0.5728346456692913,0.6200787401574803
cortisol,alc,0.5954724409448819,0.6200787401574803
cortisol,alc,0.5669291338582677,0.6200787401574803
cortisol,alc,0.5708661417322834,0.6200787401574803
cortisol,alc,0.5531496062992126,0.6200787401574803
cortisol,alc,0.5649606299212598,0.6200787401574803
cortisol,alc,0.5836614173228346,0.6200787401574803
cortisol,alc,0.5501968503937008,0.6200787401574803
cortisol,alc,0.5708661417322834,0.6200787401574803
cortisol,alc,0.5501968503937008,0.6200787401574803
cortisol,alc,0.5767716535433071,0.6200787401574803
cortisol,alc,0.593503937007874,0.6200787401574803
cortisol,alc,0.5570866141732284,0.6200787401574803
cortisol,alc,0.5954724409448819,0.6200787401574803
cortisol,alc,0.5866141732283464,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5738188976377953,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5787401574803149,0.6200787401574803
cortisol,alc,0.5846456692913385,0.6200787401574803
cortisol,alc,0.5561023622047244,0.6200787401574803
cortisol,alc,0.5728346456692913,0.6200787401574803
cortisol,alc,0.5836614173228346,0.6200787401574803
cortisol,alc,0.562007874015748,0.6200787401574803
cortisol,alc,0.577755905511811,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5728346456692913,0.6200787401574803
cortisol,alc,0.5462598425196851,0.6200787401574803
cortisol,alc,0.5757874015748031,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5413385826771654,0.6200787401574803
cortisol,alc,0.547244094488189,0.6200787401574803
cortisol,alc,0.5659448818897638,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5846456692913385,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5521653543307087,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.59251968503937,0.6200787401574803
cortisol,alc,0.53248031496063,0.6200787401574803
cortisol,alc,0.5679133858267716,0.6200787401574803
cortisol,alc,0.5433070866141733,0.6200787401574803
cortisol,alc,0.5816929133858267,0.6200787401574803
cortisol,alc,0.5580708661417323,0.6200787401574803
cortisol,alc,0.5826771653543307,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5836614173228346,0.6200787401574803
cortisol,alc,0.5442913385826772,0.6200787401574803
cortisol,alc,0.5649606299212598,0.6200787401574803
cortisol,alc,0.5590551181102362,0.6200787401574803
cortisol,alc,0.5856299212598425,0.6200787401574803
cortisol,alc,0.5767716535433071,0.6200787401574803
cortisol,alc,0.5482283464566929,0.6200787401574803
cortisol,alc,0.5649606299212598,0.6200787401574803
cortisol,alc,0.594488188976378,0.6200787401574803
cortisol,alc,0.5984251968503937,0.6200787401574803
cortisol,alc,0.5413385826771654,0.6200787401574803
cortisol,alc,0.5757874015748031,0.6200787401574803
cortisol,alc,0.5728346456692913,0.6200787401574803
cortisol,alc,0.5521653543307087,0.6200787401574803
cortisol,alc,0.5905511811023622,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5836614173228346,0.6200787401574803
cortisol,alc,0.5994094488188977,0.6200787401574803
cortisol,alc,0.5423228346456693,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5541338582677166,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5816929133858267,0.6200787401574803
cortisol,alc,0.5826771653543307,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5452755905511811,0.6200787401574803
cortisol,alc,0.547244094488189,0.6200787401574803
cortisol,alc,0.5816929133858267,0.6200787401574803
cortisol,alc,0.5679133858267716,0.6200787401574803
cortisol,alc,0.5787401574803149,0.6200787401574803
cortisol,alc,0.5659448818897638,0.6200787401574803
cortisol,alc,0.5482283464566929,0.6200787401574803
cortisol,alc,0.562007874015748,0.6200787401574803
cortisol,alc,0.5807086614173228,0.6200787401574803
cortisol,alc,0.5492125984251969,0.6200787401574803
cortisol,alc,0.5757874015748031,0.6200787401574803
cortisol,alc,0.5748031496062992,0.6200787401574803
cortisol,alc,0.562992125984252,0.6200787401574803
cortisol,alc,0.5688976377952756,0.6200787401574803
cortisol,alc,0.5807086614173228,0.6200787401574803
cortisol,alc,0.577755905511811,0.6200787401574803
cortisol,alc,0.6112204724409449,0.6200787401574803
cortisol,alc,0.5787401574803149,0.6200787401574803
cortisol,alc,0.5531496062992126,0.6200787401574803
cortisol,alc,0.547244094488189,0.6200787401574803
cortisol,alc,0.5708661417322834,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5551181102362205,0.6200787401574803
cortisol,alc,0.5649606299212598,0.6200787401574803
cortisol,alc,0.5590551181102362,0.6200787401574803
cortisol,alc,0.5442913385826772,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.59251968503937,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5708661417322834,0.6200787401574803
cortisol,alc,0.5590551181102362,0.6200787401574803
cortisol,alc,0.562007874015748,0.6200787401574803
cortisol,alc,0.6033464566929134,0.6200787401574803
cortisol,alc,0.5787401574803149,0.6200787401574803
cortisol,alc,0.562007874015748,0.6200787401574803
cortisol,alc,0.5462598425196851,0.6200787401574803
cortisol,alc,0.5728346456692913,0.6200787401574803
cortisol,alc,0.5856299212598425,0.6200787401574803
cortisol,alc,0.5570866141732284,0.6200787401574803
cortisol,alc,0.5590551181102362,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5482283464566929,0.6200787401574803
cortisol,alc,0.59251968503937,0.6200787401574803
cortisol,alc,0.5816929133858267,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5521653543307087,0.6200787401574803
cortisol,alc,0.5679133858267716,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.562992125984252,0.6200787401574803
cortisol,alc,0.5757874015748031,0.6200787401574803
cortisol,alc,0.6141732283464567,0.6200787401574803
cortisol,alc,0.5797244094488189,0.6200787401574803
cortisol,alc,0.5659448818897638,0.6200787401574803
cortisol,alc,0.5708661417322834,0.6200787401574803
cortisol,alc,0.577755905511811,0.6200787401574803
cortisol,alc,0.5836614173228346,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5846456692913385,0.6200787401574803
cortisol,alc,0.5807086614173228,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.562992125984252,0.6200787401574803
cortisol,alc,0.5748031496062992,0.6200787401574803
cortisol,alc,0.5866141732283464,0.6200787401574803
cortisol,alc,0.5856299212598425,0.6200787401574803
cortisol,alc,0.5590551181102362,0.6200787401574803
cortisol,alc,0.6210629921259843,0.6200787401574803
cortisol,alc,0.5738188976377953,0.6200787401574803
cortisol,alc,0.5541338582677166,0.6200787401574803
cortisol,alc,0.5669291338582677,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5679133858267716,0.6200787401574803
cortisol,alc,0.5974409448818898,0.6200787401574803
cortisol,alc,0.5866141732283464,0.6200787401574803
cortisol,alc,0.5501968503937008,0.6200787401574803
cortisol,alc,0.5885826771653543,0.6200787401574803
cortisol,alc,0.5561023622047244,0.6200787401574803
cortisol,alc,0.5816929133858267,0.6200787401574803
cortisol,alc,0.5580708661417323,0.6200787401574803
cortisol,alc,0.5531496062992126,0.6200787401574803
cortisol,alc,0.5482283464566929,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5492125984251969,0.6200787401574803
cortisol,alc,0.5649606299212598,0.6200787401574803
cortisol,alc,0.5885826771653543,0.6200787401574803
cortisol,alc,0.5905511811023622,0.6200787401574803
cortisol,alc,0.5748031496062992,0.6200787401574803
cortisol,alc,0.5433070866141733,0.6200787401574803
cortisol,alc,0.5846456692913385,0.6200787401574803
cortisol,alc,0.5895669291338582,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5679133858267716,0.6200787401574803
cortisol,alc,0.59251968503937,0.6200787401574803
cortisol,alc,0.5826771653543307,0.6200787401574803
cortisol,alc,0.5590551181102362,0.6200787401574803
cortisol,alc,0.5688976377952756,0.6200787401574803
cortisol,alc,0.5393700787401575,0.6200787401574803
cortisol,alc,0.5895669291338582,0.6200787401574803
cortisol,alc,0.5964566929133859,0.6200787401574803
cortisol,alc,0.5659448818897638,0.6200787401574803
cortisol,alc,0.5866141732283464,0.6200787401574803
cortisol,alc,0.5492125984251969,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5511811023622047,0.6200787401574803
cortisol,alc,0.5688976377952756,0.6200787401574803
cortisol,alc,0.5787401574803149,0.6200787401574803
cortisol,alc,0.5423228346456693,0.6200787401574803
cortisol,alc,0.5807086614173228,0.6200787401574803
cortisol,alc,0.5610236220472441,0.6200787401574803
cortisol,alc,0.5393700787401575,0.6200787401574803
cortisol,alc,0.5610236220472441,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5492125984251969,0.6200787401574803
cortisol,alc,0.5826771653543307,0.6200787401574803
cortisol,alc,0.5905511811023622,0.6200787401574803
cortisol,alc,0.5501968503937008,0.6200787401574803
cortisol,alc,0.5738188976377953,0.6200787401574803
cortisol,alc,0.5757874015748031,0.6200787401574803
cortisol,alc,0.5688976377952756,0.6200787401574803
cortisol,alc,0.593503937007874,0.6200787401574803
cortisol,alc,0.5610236220472441,0.6200787401574803
cortisol,alc,0.5875984251968503,0.6200787401574803
cortisol,alc,0.530511811023622,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5669291338582677,0.6200787401574803
cortisol,alc,0.5482283464566929,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5669291338582677,0.6200787401574803
cortisol,alc,0.5708661417322834,0.6200787401574803
cortisol,alc,0.5610236220472441,0.6200787401574803
cortisol,alc,0.5442913385826772,0.6200787401574803
cortisol,alc,0.562992125984252,0.6200787401574803
cortisol,alc,0.5728346456692913,0.6200787401574803
cortisol,alc,0.5570866141732284,0.6200787401574803
cortisol,alc,0.562007874015748,0.6200787401574803
cortisol,alc,0.5659448818897638,0.6200787401574803
cortisol,alc,0.5570866141732284,0.6200787401574803
cortisol,alc,0.5836614173228346,0.6200787401574803
cortisol,alc,0.5787401574803149,0.6200787401574803
cortisol,alc,0.5669291338582677,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5787401574803149,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5748031496062992,0.6200787401574803
cortisol,alc,0.5708661417322834,0.6200787401574803
cortisol,alc,0.5767716535433071,0.6200787401574803
cortisol,alc,0.5590551181102362,0.6200787401574803
cortisol,alc,0.5492125984251969,0.6200787401574803
cortisol,alc,0.5974409448818898,0.6200787401574803
cortisol,alc,0.562007874015748,0.6200787401574803
cortisol,alc,0.5728346456692913,0.6200787401574803
cortisol,alc,0.5797244094488189,0.6200787401574803
cortisol,alc,0.594488188976378,0.6200787401574803
cortisol,alc,0.5787401574803149,0.6200787401574803
cortisol,alc,0.5748031496062992,0.6200787401574803
cortisol,alc,0.5846456692913385,0.6200787401574803
cortisol,alc,0.5531496062992126,0.6200787401574803
cortisol,alc,0.5649606299212598,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.6033464566929134,0.6200787401574803
cortisol,alc,0.5580708661417323,0.6200787401574803
cortisol,alc,0.5649606299212598,0.6200787401574803
cortisol,alc,0.5846456692913385,0.6200787401574803
cortisol,alc,0.5807086614173228,0.6200787401574803
cortisol,alc,0.577755905511811,0.6200787401574803
cortisol,alc,0.5511811023622047,0.6200787401574803
cortisol,alc,0.5856299212598425,0.6200787401574803
cortisol,alc,0.5905511811023622,0.6200787401574803
cortisol,alc,0.5669291338582677,0.6200787401574803
cortisol,alc,0.5669291338582677,0.6200787401574803
cortisol,alc,0.5383858267716536,0.6200787401574803
cortisol,alc,0.6043307086614174,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5866141732283464,0.6200787401574803
cortisol,alc,0.6082677165354331,0.6200787401574803
cortisol,alc,0.5462598425196851,0.6200787401574803
cortisol,alc,0.5748031496062992,0.6200787401574803
cortisol,alc,0.577755905511811,0.6200787401574803
cortisol,alc,0.5442913385826772,0.6200787401574803
cortisol,alc,0.562007874015748,0.6200787401574803
cortisol,alc,0.5570866141732284,0.6200787401574803
cortisol,alc,0.5649606299212598,0.6200787401574803
cortisol,alc,0.5679133858267716,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5236220472440944,0.6200787401574803
cortisol,alc,0.5521653543307087,0.6200787401574803
cortisol,alc,0.5856299212598425,0.6200787401574803
cortisol,alc,0.594488188976378,0.6200787401574803
cortisol,alc,0.5728346456692913,0.6200787401574803
cortisol,alc,0.6112204724409449,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5541338582677166,0.6200787401574803
cortisol,alc,0.5954724409448819,0.6200787401574803
cortisol,alc,0.5807086614173228,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5816929133858267,0.6200787401574803
cortisol,alc,0.5590551181102362,0.6200787401574803
cortisol,alc,0.577755905511811,0.6200787401574803
cortisol,alc,0.5856299212598425,0.6200787401574803
cortisol,alc,0.5403543307086615,0.6200787401574803
cortisol,alc,0.5738188976377953,0.6200787401574803
cortisol,alc,0.5866141732283464,0.6200787401574803
cortisol,alc,0.5807086614173228,0.6200787401574803
cortisol,alc,0.5738188976377953,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5393700787401575,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5836614173228346,0.6200787401574803
cortisol,alc,0.5708661417322834,0.6200787401574803
cortisol,alc,0.5570866141732284,0.6200787401574803
cortisol,alc,0.5590551181102362,0.6200787401574803
cortisol,alc,0.5708661417322834,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5610236220472441,0.6200787401574803
cortisol,alc,0.5757874015748031,0.6200787401574803
cortisol,alc,0.577755905511811,0.6200787401574803
cortisol,alc,0.5767716535433071,0.6200787401574803
cortisol,alc,0.5541338582677166,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.593503937007874,0.6200787401574803
cortisol,alc,0.5679133858267716,0.6200787401574803
cortisol,alc,0.5413385826771654,0.6200787401574803
cortisol,alc,0.5905511811023622,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5403543307086615,0.6200787401574803
cortisol,alc,0.5590551181102362,0.6200787401574803
cortisol,alc,0.562007874015748,0.6200787401574803
cortisol,alc,0.5984251968503937,0.6200787401574803
cortisol,alc,0.562007874015748,0.6200787401574803
cortisol,alc,0.562992125984252,0.6200787401574803
cortisol,alc,0.5895669291338582,0.6200787401574803
cortisol,alc,0.5551181102362205,0.6200787401574803
cortisol,alc,0.5688976377952756,0.6200787401574803
cortisol,alc,0.5885826771653543,0.6200787401574803
cortisol,alc,0.5511811023622047,0.6200787401574803
cortisol,alc,0.5748031496062992,0.6200787401574803
cortisol,alc,0.5580708661417323,0.6200787401574803
cortisol,alc,0.5698818897637795,0.6200787401574803
cortisol,alc,0.5610236220472441,0.6200787401574803
cortisol,alc,0.5866141732283464,0.6200787401574803
cortisol,alc,0.5787401574803149,0.6200787401574803
cortisol,alc,0.5816929133858267,0.6200787401574803
cortisol,alc,0.5757874015748031,0.6200787401574803
cortisol,alc,0.5836614173228346,0.6200787401574803
cortisol,alc,0.6062992125984252,0.6200787401574803
cortisol,alc,0.5905511811023622,0.6200787401574803
cortisol,alc,0.5561023622047244,0.6200787401574803
cortisol,alc,0.593503937007874,0.6200787401574803
cortisol,alc,0.562007874015748,0.6200787401574803
cortisol,alc,0.5649606299212598,0.6200787401574803
cortisol,alc,0.6003937007874016,0.6200787401574803
cortisol,alc,0.5748031496062992,0.6200787401574803
cortisol,alc,0.5521653543307087,0.6200787401574803
cortisol,alc,0.5738188976377953,0.6200787401574803
cortisol,alc,0.593503937007874,0.6200787401574803
cortisol,alc,0.5856299212598425,0.6200787401574803
cortisol,alc,0.5738188976377953,0.6200787401574803
cortisol,alc,0.5738188976377953,0.6200787401574803
cortisol,alc,0.5856299212598425,0.6200787401574803
cortisol,alc,0.562007874015748,0.6200787401574803
cortisol,alc,0.5649606299212598,0.6200787401574803
cortisol,alc,0.5590551181102362,0.6200787401574803
cortisol,alc,0.5826771653543307,0.6200787401574803
cortisol,alc,0.5521653543307087,0.6200787401574803
cortisol,alc,0.5580708661417323,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5354330708661418,0.6200787401574803
cortisol,alc,0.5757874015748031,0.6200787401574803
cortisol,alc,0.5836614173228346,0.6200787401574803
cortisol,alc,0.5757874015748031,0.6200787401574803
cortisol,alc,0.5846456692913385,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5728346456692913,0.6200787401574803
cortisol,alc,0.5442913385826772,0.6200787401574803
cortisol,alc,0.562992125984252,0.6200787401574803
cortisol,alc,0.5915354330708661,0.6200787401574803
cortisol,alc,0.5836614173228346,0.6200787401574803
cortisol,alc,0.5639763779527559,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5649606299212598,0.6200787401574803
cortisol,alc,0.5393700787401575,0.6200787401574803
cortisol,alc,0.5866141732283464,0.6200787401574803
cortisol,alc,0.5718503937007874,0.6200787401574803
cortisol,alc,0.5895669291338582,0.6200787401574803
cortisol,alc,0.5846456692913385,0.6200787401574803
cortisol,alc,0.5462598425196851,0.6200787401574803
cortisol,alc,0.5807086614173228,0.6200787401574803
cortisol,alc,0.5738188976377953,0.6200787401574803
cortisol,alc,0.5688976377952756,0.6200787401574803
cortisol,alc,0.5866141732283464,0.6200787401574803
cortisol,alc,0.5728346456692913,0.6200787401574803
cortisol,alc,0.5659448818897638,0.6200787401574803
cortisol,alc,0.5688976377952756,0.6200787401574803
cortisol,alc,0.5846456692913385,0.6200787401574803
cortisol,alc,0.5433070866141733,0.6200787401574803
cortisol,alc,0.59251968503937,0.6200787401574803
cortisol,alc,0.5728346456692913,0.6200787401574803
cortisol,alc,0.5610236220472441,0.6200787401574803
cortisol,alc,0.5501968503937008,0.6200787401574803
cortisol,alc,0.5600393700787402,0.6200787401574803
cortisol,alc,0.5669291338582677,0.6200787401574803
cortisol,alc,0.5984251968503937,0.6200787401574803
cortisol,alc,0.5334645669291339,0.6200787401574803
cortisol,alc,0.5787401574803149,0.6200787401574803
cortisol,alc,0.6023622047244095,0.6200787401574803
cortisol,alc,0.6043307086614174,0.6200787401574803
cortisol,alc,0.5669291338582677,0.6200787401574803
cortisol,alc,0.5334645669291339,0.6200787401574803
cortisol,alc,0.59251968503937,0.6200787401574803
cortisol,alc,0.5669291338582677,0.6200787401574803
cortisol,alc,0.5797244094488189,0.6200787401574803
cortisol,alc,0.594488188976378,0.6200787401574803
cortisol,alc,0.5954724409448819,0.6200787401574803
cortisol,alc,0.5580708661417323,0.6200787401574803
cortisol,alc,0.5541338582677166,0.6200787401574803
cortisol,alc,0.5659448818897638,0.6200787401574803
cortisol,alc,0.5767716535433071,0.6200787401574803
cortisol,alc,0.5895669291338582,0.6200787401574803
